state,county,county_id,year,prim_or_gen,treat,turnout_share,state_year,period,post_2018,dem_share,dem_share_gov,dem_share_pres,cvap,ballots_cast,vbm_share,share_votes_dem,office,year2,state_year_id
CA,Alameda,1,2024,general,1,0.6663724624889673,CA_2024,extension,1,0.8013698630136986,,0.8013698630136986,1133000.0,755000.0,,,presidential,4096576,13
CA,Alpine,2,1998,general,0,0.6208726167678833,CA_1998,original,0,0.5357142686843872,0.5357142686843872,,920.0,585.0,1.0,0.5285714,,3992004,0
CA,Alpine,2,2000,general,0,,CA_2000,original,0,,,0.4853479862213135,,,,0.46349207,,4000000,1
CA,Alpine,2,2002,general,0,0.6482673287391663,CA_2002,original,0,0.4810924232006073,0.4810924232006073,,,582.0,1.0,0.4703833,,4008004,2
CA,Alpine,2,2004,general,0,0.8154822587966919,CA_2004,original,0,,,0.5453216433525085,,714.0,1.0,0.44951922,,4016016,3
CA,Alpine,2,2006,general,0,0.651562511920929,CA_2006,original,0,0.4249512553215027,0.4249512553215027,,,556.0,1.0,0.45179063,,4024036,4
CA,Alpine,2,2008,general,0,0.8386363983154297,CA_2008,original,0,,,0.6261127591133118,,697.0,1.0,0.4476386,,4032064,5
CA,Alpine,2,2010,general,0,0.6778442859649658,CA_2010,original,0,0.5831809639930725,0.5831809639930725,,835.0,566.0,1.0,0.46296296,,4040100,6
CA,Alpine,2,2012,general,0,0.7288888692855835,CA_2012,original,0,,,0.6223999857902527,900.0,656.0,1.0,0.45124283,,4048144,7
CA,Alpine,2,2014,general,0,0.49263158440589905,CA_2014,original,0,0.6187363862991333,0.6187363862991333,,950.0,468.0,1.0,0.45112783,,4056196,8
CA,Alpine,2,2016,general,0,0.6938547492027283,CA_2016,original,0,,,0.6061705946922302,895.0,621.0,1.0,0.44620812,,4064256,9
CA,Alpine,2,2018,general,0,0.6994413137435913,CA_2018,original,0,0.6276422739028931,0.6276422739028931,,895.0,626.0,1.0,0.4463668,,4072324,10
CA,Alpine,2,2020,general,0,0.95,CA_2020,extension,1,0.543451652386781,,0.543451652386781,900.0,855.0,,,presidential,4080400,11
CA,Alpine,2,2022,general,0,0.69,CA_2022,extension,1,0.5743589743589743,0.5743589743589743,,900.0,621.0,,,governor,4088484,12
CA,Alpine,2,2024,general,0,0.9333333333333333,CA_2024,extension,1,0.5125,,0.5125,900.0,840.0,,,presidential,4096576,13
CA,Amador,3,1998,general,0,0.5096403956413269,CA_1998,original,0,0.5051940083503723,0.5051940083503723,,27430.0,13651.0,0.29543623,0.33200055,,3992004,0
CA,Amador,3,2000,general,0,,CA_2000,original,0,,,0.40253543853759766,,,,0.321756,,4000000,1
CA,Amador,3,2002,general,0,0.47986701130867004,CA_2002,original,0,0.38805317878723145,0.38805317878723145,,,13472.0,0.34887174,0.3231766,,4008004,2
CA,Amador,3,2004,general,0,0.6298294067382812,CA_2004,original,0,,,0.370636910200119,,18088.0,0.4050752,0.31101716,,4016016,3
CA,Amador,3,2006,general,0,0.5182313323020935,CA_2006,original,0,0.23772060871124268,0.23772060871124268,,,15217.0,0.48590392,0.3219586,,4024036,4
CA,Amador,3,2008,general,0,0.6333691477775574,CA_2008,original,0,,,0.42522042989730835,,19006.0,0.51836264,0.31263638,,4032064,5
CA,Amador,3,2010,general,0,0.5431475639343262,CA_2010,original,0,0.44230392575263977,0.44230392575263977,,30500.0,16566.0,0.585597,0.30765343,,4040100,6
CA,Amador,3,2012,general,0,0.5869073271751404,CA_2012,original,0,,,0.39915844798088074,30475.0,17886.0,0.6118193,0.3078486,,4048144,7
CA,Amador,3,2014,general,0,0.4340023100376129,CA_2014,original,0,0.44554221630096436,0.44554221630096436,,30145.0,13083.0,0.6529848,0.31480858,,4056196,8
CA,Amador,3,2016,general,0,0.604794979095459,CA_2016,original,0,,,0.36412152647972107,30240.0,18289.0,0.6783859,0.2968178,,4064256,9
CA,Amador,3,2018,general,0,0.5715571045875549,CA_2018,original,0,0.35451599955558777,0.35451599955558777,,31115.0,17784.0,0.71935445,0.30297926,,4072324,10
CA,Amador,3,2020,general,1,0.8250322580645161,CA_2020,extension,1,0.37212023401250754,,0.37212023401250754,31000.0,25576.0,,,presidential,4080400,11
CA,Amador,3,2022,general,1,0.6641290322580645,CA_2022,extension,1,0.3488031511968488,0.3488031511968488,,31000.0,20588.0,,,governor,4088484,12
CA,Amador,3,2024,general,1,0.8225806451612904,CA_2024,extension,1,0.3441295546558704,,0.3441295546558704,31000.0,25500.0,,,presidential,4096576,13
CA,Butte,4,1998,general,0,0.4619593918323517,CA_1998,original,0,0.4798651933670044,0.4798651933670044,,146805.0,66217.0,0.29524142,0.35580483,,3992004,0
CA,Butte,4,2000,general,0,,CA_2000,original,0,,,0.4073997139930725,,,,0.35107183,,4000000,1
CA,Butte,4,2002,general,0,0.4159896671772003,CA_2002,original,0,0.37276336550712585,0.37276336550712585,,,62511.0,0.29671577,0.3496971,,4008004,2
CA,Butte,4,2004,general,0,0.6307366490364075,CA_2004,original,0,,,0.4510466456413269,,96967.0,0.41442966,0.3517789,,4016016,3
CA,Butte,4,2006,general,0,0.4471835494041443,CA_2006,original,0,0.2905559837818146,0.2905559837818146,,,70298.0,0.5092037,0.35843673,,4024036,4
CA,Butte,4,2008,general,0,0.6186202764511108,CA_2008,original,0,,,0.5120509266853333,,99392.0,0.4943758,0.3591844,,4032064,5
CA,Butte,4,2010,general,0,0.4741244316101074,CA_2010,original,0,0.46611037850379944,0.46611037850379944,,163320.0,77434.0,0.5700726,0.35427392,,4040100,6
CA,Butte,4,2012,general,0,0.5531086325645447,CA_2012,original,0,,,0.48961538076400757,165830.0,91722.0,0.6190227,0.35975122,,4048144,7
CA,Butte,4,2014,general,0,0.3769459128379822,CA_2014,original,0,0.4779096245765686,0.4779096245765686,,168430.0,63489.0,0.7222983,0.34798333,,4056196,8
CA,Butte,4,2016,general,0,0.5794766545295715,CA_2016,original,0,,,0.4793740212917328,170635.0,98879.0,0.6982676,0.36175826,,4064256,9
CA,Butte,4,2018,general,0,0.5183961987495422,CA_2018,original,0,0.46773213148117065,0.46773213148117065,,173840.0,90118.0,0.73960805,0.3719577,,4072324,10
CA,Butte,4,2020,general,1,0.6775892857142857,CA_2020,extension,1,0.4573643410852713,,0.4573643410852713,168000.0,113835.0,,,presidential,4080400,11
CA,Butte,4,2022,general,1,0.5146011904761905,CA_2022,extension,1,0.43151742390824877,0.43151742390824877,,168000.0,86453.0,,,governor,4088484,12
CA,Butte,4,2024,general,1,0.6666666666666666,CA_2024,extension,1,0.42452830188679247,,0.42452830188679247,168000.0,112000.0,,,presidential,4096576,13
CA,Calaveras,5,1998,general,0,0.5514640212059021,CA_1998,original,0,0.4744648039340973,0.4744648039340973,,30920.0,16365.0,0.36455852,0.34375,,3992004,0
CA,Calaveras,5,2000,general,0,,CA_2000,original,0,,,0.4009156823158264,,,,0.32199237,,4000000,1
CA,Calaveras,5,2002,general,0,0.48354634642601013,CA_2002,original,0,0.3840073049068451,0.3840073049068451,,,15553.0,0.3799267,0.31426105,,4008004,2
CA,Calaveras,5,2004,general,0,0.6741020083427429,CA_2004,original,0,,,0.37858089804649353,,22521.0,0.46836287,0.30248833,,4016016,3
CA,Calaveras,5,2006,general,0,0.5286937355995178,CA_2006,original,0,0.25166577100753784,0.25166577100753784,,,18321.0,0.57889855,0.30683446,,4024036,4
CA,Calaveras,5,2008,general,0,0.657088041305542,CA_2008,original,0,,,0.4332832992076874,,23588.0,0.5852552,0.30244064,,4032064,5
CA,Calaveras,5,2010,general,0,0.5596606135368347,CA_2010,original,0,0.4206720292568207,0.4206720292568207,,35945.0,20117.0,0.6285231,0.2995884,,4040100,6
CA,Calaveras,5,2012,general,0,0.614615797996521,CA_2012,original,0,,,0.4121702015399933,35920.0,22077.0,0.67051685,0.29519415,,4048144,7
CA,Calaveras,5,2014,general,0,0.45367708802223206,CA_2014,original,0,0.437273234128952,0.437273234128952,,35490.0,16101.0,0.70610523,0.29875812,,4056196,8
CA,Calaveras,5,2016,general,0,0.6758280396461487,CA_2016,original,0,,,0.37026333808898926,35475.0,23975.0,0.7021481,0.28695253,,4064256,9
CA,Calaveras,5,2018,general,0,0.6063044667243958,CA_2018,original,0,0.3593243956565857,0.3593243956565857,,36165.0,21927.0,0.7495781,0.28669104,,4072324,10
CA,Calaveras,5,2020,general,1,0.8377894736842105,CA_2020,extension,1,0.3761662425784563,,0.3761662425784563,38000.0,31836.0,,,presidential,4080400,11
CA,Calaveras,5,2022,general,1,0.6609736842105263,CA_2022,extension,1,0.34985009993337773,0.34985009993337773,,38000.0,25117.0,,,governor,4088484,12
CA,Calaveras,5,2024,general,1,0.8289473684210527,CA_2024,extension,1,0.3465346534653465,,0.3465346534653465,38000.0,31500.0,,,presidential,4096576,13
CA,Colusa,6,1998,general,0,0.5285165309906006,CA_1998,original,0,0.449022501707077,0.449022501707077,,9685.0,4966.0,0.2754732,0.37574553,,3992004,0
CA,Colusa,6,2000,general,0,,CA_2000,original,0,,,0.32471156120300293,,,,0.342246,,4000000,1
CA,Colusa,6,2002,general,0,0.4687238931655884,CA_2002,original,0,0.2932295501232147,0.2932295501232147,,,4675.0,0.28470588,0.2864992,,4008004,2
CA,Colusa,6,2004,general,0,0.6119201183319092,CA_2004,original,0,,,0.3197569251060486,,6280.0,0.34044585,0.29718563,,4016016,3
CA,Colusa,6,2006,general,0,0.4791660010814667,CA_2006,original,0,0.23149506747722626,0.23149506747722626,,,5056.0,0.42563292,0.2873633,,4024036,4
CA,Colusa,6,2008,general,0,0.6025521159172058,CA_2008,original,0,,,0.40764835476875305,,6532.0,0.49341702,0.3155806,,4032064,5
CA,Colusa,6,2010,general,0,0.46863695979118347,CA_2010,original,0,0.3800849914550781,0.3800849914550781,,11335.0,5312.0,0.43524095,0.29445922,,4040100,6
CA,Colusa,6,2012,general,0,0.5217987298965454,CA_2012,original,0,,,0.39120879769325256,11675.0,6092.0,0.558109,0.30363816,,4048144,7
CA,Colusa,6,2014,general,0,0.3698870837688446,CA_2014,original,0,0.4272749125957489,0.4272749125957489,,11955.0,4422.0,0.60153776,0.2814971,,4056196,8
CA,Colusa,6,2016,general,0,0.5571545362472534,CA_2016,original,0,,,0.42836445569992065,12230.0,6814.0,0.61740535,0.31741485,,4064256,9
CA,Colusa,6,2018,general,0,0.470088928937912,CA_2018,original,0,0.34686794877052307,0.34686794877052307,,12370.0,5815.0,0.55631983,0.300141,,4072324,10
CA,Colusa,6,2020,general,0,0.6803846153846154,CA_2020,extension,1,0.30945157526254374,,0.30945157526254374,13000.0,8845.0,,,presidential,4080400,11
CA,Colusa,6,2022,general,0,0.5474615384615384,CA_2022,extension,1,0.28788321167883213,0.28788321167883213,,13000.0,7117.0,,,governor,4088484,12
CA,Colusa,6,2024,general,0,0.676923076923077,CA_2024,extension,1,0.2823529411764706,,0.2823529411764706,13000.0,8800.0,,,presidential,4096576,13
CA,Contra Costa,7,1998,general,0,0.5068112015724182,CA_1998,original,0,0.647189736366272,0.647189736366272,,613960.0,306712.0,0.3065612,0.52411187,,3992004,0
CA,Contra Costa,7,2000,general,0,,CA_2000,original,0,,,0.6134297251701355,,,,0.51918876,,4000000,1
CA,Contra Costa,7,2002,general,0,0.44013071060180664,CA_2002,original,0,0.5987165570259094,0.5987165570259094,,,274087.0,0.31883672,0.5630152,,4008004,2
CA,Contra Costa,7,2004,general,0,0.6624255776405334,CA_2004,original,0,,,0.630737841129303,,418335.0,0.35880575,0.5148154,,4016016,3
CA,Contra Costa,7,2006,general,0,0.4813462495803833,CA_2006,original,0,0.44778385758399963,0.44778385758399963,,,308206.0,0.48506844,0.52265376,,4024036,4
CA,Contra Costa,7,2008,general,0,0.7038823962211609,CA_2008,original,0,,,0.6923090815544128,,456876.0,0.4758337,0.51939803,,4032064,5
CA,Contra Costa,7,2010,general,0,0.5351688861846924,CA_2010,original,0,0.6307303309440613,0.6307303309440613,,659020.0,352687.0,0.5316499,0.5169025,,4040100,6
CA,Contra Costa,7,2012,general,0,0.6474348902702332,CA_2012,original,0,,,0.6805431842803955,682915.0,442143.0,0.5562748,0.52084464,,4048144,7
CA,Contra Costa,7,2014,general,0,0.36510711908340454,CA_2014,original,0,0.6864557266235352,0.6864557266235352,,709400.0,259007.0,0.6394306,0.52451116,,4056196,8
CA,Contra Costa,7,2016,general,0,0.6587091684341431,CA_2016,original,0,,,0.7335833311080933,730755.0,481355.0,0.6426006,0.51758015,,4064256,9
CA,Contra Costa,7,2018,general,0,0.5624243021011353,CA_2018,original,0,0.6819776296615601,0.6819776296615601,,752720.0,423348.0,0.68600065,0.5212793,,4072324,10
CA,Contra Costa,7,2020,general,0,0.6787411042944785,CA_2020,extension,1,0.7279510116544854,,0.7279510116544854,815000.0,553174.0,,,presidential,4080400,11
CA,Contra Costa,7,2022,general,0,0.507038036809816,CA_2022,extension,1,0.7446409129193287,0.7446409129193287,,815000.0,413236.0,,,governor,4088484,12
CA,Contra Costa,7,2024,general,0,0.6687116564417178,CA_2024,extension,1,0.7019230769230769,,0.7019230769230769,815000.0,545000.0,,,presidential,4096576,13
CA,Del Norte,8,1998,general,0,0.38972628116607666,CA_1998,original,0,0.5530620813369751,0.5530620813369751,,19745.0,7570.0,0.34108323,0.36403033,,3992004,0
CA,Del Norte,8,2000,general,0,,CA_2000,original,0,,,0.40782415866851807,,,,0.35027948,,4000000,1
CA,Del Norte,8,2002,general,0,0.34700295329093933,CA_2002,original,0,0.4857855439186096,0.4857855439186096,,,6963.0,0.35013643,0.35937035,,4008004,2
CA,Del Norte,8,2004,general,0,0.4655366837978363,CA_2004,original,0,,,0.42084774374961853,,9491.0,0.35075334,0.3460026,,4016016,3
CA,Del Norte,8,2006,general,0,0.3297223150730133,CA_2006,original,0,0.4102106988430023,0.4102106988430023,,,6828.0,0.50219685,0.36254612,,4024036,4
CA,Del Norte,8,2008,general,0,0.4604971706867218,CA_2008,original,0,,,0.4653390645980835,,9684.0,0.48440728,0.34746796,,4032064,5
CA,Del Norte,8,2010,general,0,0.39752262830734253,CA_2010,original,0,0.5482186079025269,0.5482186079025269,,20990.0,8344.0,0.5487776,0.34528175,,4040100,6
CA,Del Norte,8,2012,general,0,0.416170597076416,CA_2012,original,0,,,0.451041042804718,21335.0,8879.0,0.5922964,0.34197566,,4048144,7
CA,Del Norte,8,2014,general,0,0.3472413122653961,CA_2014,original,0,0.49637115001678467,0.49637115001678467,,21115.0,7332.0,0.5935625,0.33416048,,4056196,8
CA,Del Norte,8,2016,general,0,0.4647519588470459,CA_2016,original,0,,,0.4043392539024353,21065.0,9790.0,0.62686414,0.32871807,,4064256,9
CA,Del Norte,8,2018,general,0,0.40946143865585327,CA_2018,original,0,0.41318443417549133,0.41318443417549133,,20610.0,8439.0,0.6565944,0.33230928,,4072324,10
CA,Del Norte,8,2020,general,0,0.6869473684210526,CA_2020,extension,1,0.39570133932151735,,0.39570133932151735,19000.0,13052.0,,,presidential,4080400,11
CA,Del Norte,8,2022,general,0,0.5218947368421053,CA_2022,extension,1,0.3744671781756181,0.3744671781756181,,19000.0,9916.0,,,governor,4088484,12
CA,Del Norte,8,2024,general,0,0.6789473684210526,CA_2024,extension,1,0.36585365853658536,,0.36585365853658536,19000.0,12900.0,,,presidential,4096576,13
CA,El Dorado,9,1998,general,0,0.5527136325836182,CA_1998,original,0,0.4543895125389099,0.4543895125389099,,109920.0,58603.0,0.3030391,0.31761175,,3992004,0
CA,El Dorado,9,2000,general,0,,CA_2000,original,0,,,0.38409140706062317,,,,0.30821002,,4000000,1
CA,El Dorado,9,2002,general,0,0.5013521313667297,CA_2002,original,0,0.3326977789402008,0.3326977789402008,,,57060.0,0.31142658,0.30491242,,4008004,2
CA,El Dorado,9,2004,general,0,0.7418071627616882,CA_2004,original,0,,,0.37878289818763733,,87314.0,0.39432395,0.3004547,,4016016,3
CA,El Dorado,9,2006,general,0,0.566133975982666,CA_2006,original,0,0.2260286808013916,0.2260286808013916,,,68840.0,0.51024115,0.30869105,,4024036,4
CA,El Dorado,9,2008,general,0,0.7481937408447266,CA_2008,original,0,,,0.44614335894584656,,93890.0,0.5472255,0.30217606,,4032064,5
CA,El Dorado,9,2010,general,0,0.5981358289718628,CA_2010,original,0,0.407219797372818,0.407219797372818,,131425.0,78610.0,0.70527923,0.29830942,,4040100,6
CA,El Dorado,9,2012,general,0,0.6723772883415222,CA_2012,original,0,,,0.4082471430301666,133260.0,89601.0,0.7142108,0.2988616,,4048144,7
CA,El Dorado,9,2014,general,0,0.4671934247016907,CA_2014,original,0,0.45496177673339844,0.45496177673339844,,134790.0,62973.0,0.7733632,0.30320078,,4056196,8
CA,El Dorado,9,2016,general,0,0.7085146903991699,CA_2016,original,0,,,0.42502713203430176,136940.0,97024.0,0.7616157,0.3000459,,4064256,9
CA,El Dorado,9,2018,general,0,0.6431102752685547,CA_2018,original,0,0.4058387577533722,0.4058387577533722,,141080.0,90730.0,0.79038906,0.30662578,,4072324,10
CA,El Dorado,9,2020,general,1,0.8155562913907285,CA_2020,extension,1,0.42010576655449,,0.42010576655449,151000.0,123149.0,,,presidential,4080400,11
CA,El Dorado,9,2022,general,1,0.6545099337748345,CA_2022,extension,1,0.3936373276776246,0.3936373276776246,,151000.0,98831.0,,,governor,4088484,12
CA,El Dorado,9,2024,general,1,0.8079470198675497,CA_2024,extension,1,0.3898305084745763,,0.3898305084745763,151000.0,122000.0,,,presidential,4096576,13
CA,Fresno,10,1998,general,0,0.41109761595726013,CA_1998,original,0,0.4908267855644226,0.4908267855644226,,446270.0,178119.0,0.27606264,0.39121944,,3992004,0
CA,Fresno,10,2000,general,0,,CA_2000,original,0,,,0.44754496216773987,,,,0.3839206,,4000000,1
CA,Fresno,10,2002,general,0,0.34779173135757446,CA_2002,original,0,0.4072269797325134,0.4072269797325134,,,159728.0,0.3100646,0.37384072,,4008004,2
CA,Fresno,10,2004,general,0,0.5291720032691956,CA_2004,original,0,,,0.4207928478717804,,249905.0,0.38460216,0.3762526,,4016016,3
CA,Fresno,10,2006,general,0,0.3700731694698334,CA_2006,original,0,0.3150659203529358,0.3150659203529358,,,179578.0,0.46323603,0.37990028,,4024036,4
CA,Fresno,10,2008,general,0,0.5530510544776917,CA_2008,original,0,,,0.5106285810470581,,275554.0,0.45320335,0.39380857,,4032064,5
CA,Fresno,10,2010,general,0,0.3955248296260834,CA_2010,original,0,0.45004016160964966,0.45004016160964966,,516405.0,204251.0,0.52867305,0.3803543,,4040100,6
CA,Fresno,10,2012,general,0,0.49359920620918274,CA_2012,original,0,,,0.5091456174850464,530090.0,261652.0,0.5431222,0.39361316,,4048144,7
CA,Fresno,10,2014,general,0,0.2973029613494873,CA_2014,original,0,0.47623008489608765,0.47623008489608765,,549675.0,163420.0,0.60285765,0.38275295,,4056196,8
CA,Fresno,10,2016,general,0,0.5155609846115112,CA_2016,original,0,,,0.5325784683227539,566160.0,291890.0,0.5485046,0.39636713,,4064256,9
CA,Fresno,10,2018,general,0,0.4422621428966522,CA_2018,original,0,0.4908371567726135,0.4908371567726135,,581040.0,256972.0,0.6358319,0.3953216,,4072324,10
CA,Fresno,10,2020,general,1,0.541966129032258,CA_2020,extension,1,0.49371061411096007,,0.49371061411096007,620000.0,336019.0,,,presidential,4080400,11
CA,Fresno,10,2022,general,1,0.4292951612903226,CA_2022,extension,1,0.4797145688800793,0.4797145688800793,,620000.0,266163.0,,,governor,4088484,12
CA,Fresno,10,2024,general,1,0.5403225806451613,CA_2024,extension,1,0.46875,,0.46875,620000.0,335000.0,,,presidential,4096576,13
CA,Glenn,11,1998,general,0,0.5102277994155884,CA_1998,original,0,0.43209877610206604,0.43209877610206604,,15375.0,7652.0,0.24124412,0.2979351,,3992004,0
CA,Glenn,11,2000,general,0,,CA_2000,original,0,,,0.3012178838253021,,,,0.28719053,,4000000,1
CA,Glenn,11,2002,general,0,0.4232269525527954,CA_2002,original,0,0.2830505669116974,0.2830505669116974,,,6667.0,0.28348583,0.27248678,,4008004,2
CA,Glenn,11,2004,general,0,0.590370237827301,CA_2004,original,0,,,0.3219391703605652,,9523.0,0.43610206,0.2729107,,4016016,3
CA,Glenn,11,2006,general,0,0.4643109440803528,CA_2006,original,0,0.19747081398963928,0.19747081398963928,,,7665.0,0.43313763,0.27119967,,4024036,4
CA,Glenn,11,2008,general,0,0.5953413248062134,CA_2008,original,0,,,0.3871837556362152,,10053.0,0.3678504,0.28402367,,4032064,5
CA,Glenn,11,2010,general,0,0.4732148051261902,CA_2010,original,0,0.3320915997028351,0.3320915997028351,,17155.0,8118.0,0.40712,0.27117842,,4040100,6
CA,Glenn,11,2012,general,0,0.5358209013938904,CA_2012,original,0,,,0.36952871084213257,17420.0,9334.0,0.74105424,0.27765444,,4048144,7
CA,Glenn,11,2014,general,0,0.3569115102291107,CA_2014,original,0,0.343965083360672,0.343965083360672,,17290.0,6171.0,0.7899854,0.25450492,,4056196,8
CA,Glenn,11,2016,general,0,0.5784907937049866,CA_2016,original,0,,,0.3462103307247162,16830.0,9736.0,0.7830731,0.27968103,,4064256,9
CA,Glenn,11,2018,general,0,0.49964475631713867,CA_2018,original,0,0.2909265458583832,0.2909265458583832,,16890.0,8439.0,0.8277047,0.26871356,,4072324,10
CA,Glenn,11,2020,general,0,0.7075555555555556,CA_2020,extension,1,0.2850433233460199,,0.2850433233460199,18000.0,12736.0,,,presidential,4080400,11
CA,Glenn,11,2022,general,0,0.5581111111111111,CA_2022,extension,1,0.25840616966580976,0.25840616966580976,,18000.0,10046.0,,,governor,4088484,12
CA,Glenn,11,2024,general,0,0.7055555555555556,CA_2024,extension,1,0.2601626016260163,,0.2601626016260163,18000.0,12700.0,,,presidential,4096576,13
CA,Humboldt,12,1998,general,0,0.505641520023346,CA_1998,original,0,0.5748952627182007,0.5748952627182007,,94715.0,47339.0,0.22702211,0.51215374,,3992004,0
CA,Humboldt,12,2000,general,0,,CA_2000,original,0,,,0.5169752240180969,,,,0.47936398,,4000000,1
CA,Humboldt,12,2002,general,0,0.4580603539943695,CA_2002,original,0,0.5474632978439331,0.5474632978439331,,,43886.0,0.25301918,0.4938587,,4008004,2
CA,Humboldt,12,2004,general,0,0.6855919361114502,CA_2004,original,0,,,0.596339225769043,,66435.0,0.29112667,0.4727547,,4016016,3
CA,Humboldt,12,2006,general,0,0.5015357732772827,CA_2006,original,0,0.46295443177223206,0.46295443177223206,,,49148.0,0.39912102,0.4870594,,4024036,4
CA,Humboldt,12,2008,general,0,0.6495012640953064,CA_2008,original,0,,,0.6463968753814697,,64358.0,0.40633643,0.47526518,,4032064,5
CA,Humboldt,12,2010,general,0,0.5044757127761841,CA_2010,original,0,0.6089728474617004,0.6089728474617004,,102665.0,51792.0,0.47864535,0.4752106,,4040100,6
CA,Humboldt,12,2012,general,0,0.559814989566803,CA_2012,original,0,,,0.6466912031173706,103770.0,58092.0,0.51946914,0.47638002,,4048144,7
CA,Humboldt,12,2014,general,0,0.3690163791179657,CA_2014,original,0,0.6461277604103088,0.6461277604103088,,104410.0,38529.0,0.5719588,0.48611692,,4056196,8
CA,Humboldt,12,2016,general,0,0.5804035663604736,CA_2016,original,0,,,0.6437476873397827,105070.0,60983.0,0.5762262,0.4763183,,4064256,9
CA,Humboldt,12,2018,general,0,0.5069734454154968,CA_2018,original,0,0.6449405550956726,0.6449405550956726,,105400.0,53435.0,0.66514456,0.48433796,,4072324,10
CA,Humboldt,12,2020,general,0,0.684495145631068,CA_2020,extension,1,0.622250596622433,,0.622250596622433,103000.0,70503.0,,,presidential,4080400,11
CA,Humboldt,12,2022,general,1,0.532242718446602,CA_2022,extension,1,0.6354461441038529,0.6354461441038529,,103000.0,54821.0,,,governor,4088484,12
CA,Humboldt,12,2024,general,1,0.6699029126213593,CA_2024,extension,1,0.59375,,0.59375,103000.0,69000.0,,,presidential,4096576,13
CA,Imperial,13,1998,general,0,0.3352932929992676,CA_1998,original,0,0.6068454384803772,0.6068454384803772,,74450.0,24387.0,0.14790668,0.4990327,,3992004,0
CA,Imperial,13,2000,general,0,,CA_2000,original,0,,,0.5529218316078186,,,,0.50463337,,4000000,1
CA,Imperial,13,2002,general,0,0.29491904377937317,CA_2002,original,0,0.5698624849319458,0.5698624849319458,,,22463.0,0.1868851,0.50516796,,4008004,2
CA,Imperial,13,2004,general,0,0.44644981622695923,CA_2004,original,0,,,0.5306315422058105,,34771.0,0.24048777,0.50162476,,4016016,3
CA,Imperial,13,2006,general,0,0.28741204738616943,CA_2006,original,0,0.4916858673095703,0.4916858673095703,,,22878.0,0.31235248,0.511188,,4024036,4
CA,Imperial,13,2008,general,0,0.4897274076938629,CA_2008,original,0,,,0.63301020860672,,39823.0,0.32250208,0.50365174,,4032064,5
CA,Imperial,13,2010,general,0,0.311119943857193,CA_2010,original,0,0.6372677683830261,0.6372677683830261,,88040.0,27391.0,0.3658866,0.4967907,,4040100,6
CA,Imperial,13,2012,general,0,0.4277290999889374,CA_2012,original,0,,,0.6629915833473206,92430.0,39535.0,0.49955735,0.5027579,,4048144,7
CA,Imperial,13,2014,general,0,0.22504830360412598,CA_2014,original,0,0.6426149606704712,0.6426149606704712,,95735.0,21545.0,0.62422836,0.49323598,,4056196,8
CA,Imperial,13,2016,general,0,0.4926448464393616,CA_2016,original,0,,,0.7199973464012146,99250.0,48895.0,0.551447,0.5030191,,4064256,9
CA,Imperial,13,2018,general,0,0.33029624819755554,CA_2018,original,0,0.6167336106300354,0.6167336106300354,,102620.0,33895.0,0.6192654,0.4952861,,4072324,10
