state,county,year,office,dem_votes,rep_votes,total_votes,data_status
WA,Lincoln,2022,governor,,,,placeholder
WA,Mason,2022,governor,,,,placeholder
WA,Okanogan,2022,governor,,,,placeholder
WA,Pacific,2022,governor,,,,placeholder
WA,Pend Oreille,2022,governor,,,,placeholder
WA,Pierce,2022,governor,,,,placeholder
WA,San Juan,2022,governor,,,,placeholder
WA,Skagit,2022,governor,,,,placeholder
WA,Skamania,2022,governor,,,,placeholder
WA,Snohomish,2022,governor,,,,placeholder
WA,Spokane,2022,governor,,,,placeholder
WA,Stevens,2022,governor,,,,placeholder
WA,Thurston,2022,governor,,,,placeholder
WA,Wahkiakum,2022,governor,,,,placeholder
WA,Walla Walla,2022,governor,,,,placeholder
WA,Whatcom,2022,governor,,,,placeholder
WA,Whitman,2022,governor,,,,placeholder
WA,Yakima,2022,governor,,,,placeholder
