county,dem_votes,rep_votes,total_votes,state,year,office
Riverside,271858,303252,603968,CA,2022,governor
Sacramento,289752,182119,493737,CA,2022,governor
San Benito,10321,10057,21335,CA,2022,governor
San Bernardino,219963,256515,499735,CA,2022,governor
San Diego,657247,475413,1185909,CA,2022,governor
San Francisco,268234,37003,316764,CA,2022,governor
San Joaquin,104116,88005,201118,CA,2022,governor
San Luis Obispo,53213,41206,98876,CA,2022,governor
San Mateo,208315,58656,276848,CA,2022,governor
Santa Barbara,87850,52006,146112,CA,2022,governor
Santa Clara,432779,155413,613963,CA,2022,governor
Santa Cruz,76696,24319,104764,CA,2022,governor
Shasta,15839,44058,62607,CA,2022,governor
Sierra,358,1013,1435,CA,2022,governor
Siskiyou,6720,11230,18782,CA,2022,governor
Solano,77943,48380,131815,CA,2022,governor
Sonoma,148609,45413,201348,CA,2022,governor
Stanislaus,73424,78632,159189,CA,2022,governor
Sutter,10101,18183,29488,CA,2022,governor
Tehama,5186,15377,21399,CA,2022,governor
Trinity,1793,3537,5568,CA,2022,governor
Tulare,32996,63032,100573,CA,2022,governor
Tuolumne,7721,11898,20468,CA,2022,governor
Ventura,168610,117430,298207,CA,2022,governor
Yolo,49137,20299,72388,CA,2022,governor
Yuba,7734,12036,20588,CA,2022,governor
Alameda,499551,140789,669433,CA,2024,president
Alpine,417,513,983,CA,2024,president
Amador,6165,14232,21307,CA,2024,president
Butte,44228,47179,95704,CA,2024,president
Calaveras,7724,14249,22987,CA,2024,president
Colusa,2160,4503,6994,CA,2024,president
Contra Costa,305168,113858,437652,CA,2024,president
Del Norte,3933,6320,10725,CA,2024,president
El Dorado,37173,52970,94300,CA,2024,president
Fresno,123698,134025,272037,CA,2024,president
Glenn,2839,6697,9970,CA,2024,president
Humboldt,31909,22124,56793,CA,2024,president
Imperial,19085,21955,43567,CA,2024,president
Inyo,3158,4545,8092,CA,2024,president
Kern,75069,146870,234100,CA,2024,president
Kings,13916,20309,36042,CA,2024,president
Lake,10512,11295,22930,CA,2024,president
Lassen,2697,9215,12436,CA,2024,president
Los Angeles,2381816,1278972,3825878,CA,2024,president
Madera,16689,25041,43808,CA,2024,president
Marin,94463,21186,120079,CA,2024,president
Mariposa,3131,5143,8693,CA,2024,president
Mendocino,19768,13025,34581,CA,2024,president
Merced,40190,43955,88590,CA,2024,president
Modoc,943,2846,3984,CA,2024,president
Mono,2919,2264,5435,CA,2024,president
Monterey,92899,43312,143212,CA,2024,president
Napa,38066,19030,59738,CA,2024,president
Nevada,27173,21319,50820,CA,2024,president
Orange,722543,683063,1452695,CA,2024,president
Placer,82118,96481,186719,CA,2024,president
Plumas,3168,5406,8958,CA,2024,president
Riverside,341665,387888,766139,CA,2024,president
Sacramento,351595,233155,612682,CA,2024,president
San Benito,12527,11491,25158,CA,2024,president
San Bernardino,275091,320929,625814,CA,2024,president
San Diego,812629,607054,1486048,CA,2024,president
San Francisco,303108,47886,366073,CA,2024,president
San Joaquin,129929,114082,256232,CA,2024,president
San Luis Obispo,61862,48099,115357,CA,2024,president
San Mateo,233783,74279,321117,CA,2024,president
Santa Barbara,104251,61700,173256,CA,2024,president
Santa Clara,511605,191810,737109,CA,2024,president
Santa Cruz,87044,28302,120106,CA,2024,president
Shasta,19261,47181,69792,CA,2024,president
Sierra,411,1072,1558,CA,2024,president
Siskiyou,8003,11916,20923,CA,2024,president
Solano,94064,60696,162041,CA,2024,president
Sonoma,170069,53963,233030,CA,2024,president
Stanislaus,91090,95884,196189,CA,2024,president
Sutter,11883,20066,33337,CA,2024,president
Tehama,6144,16426,23567,CA,2024,president
Trinity,2079,3718,6107,CA,2024,president
Tulare,39871,67219,112780,CA,2024,president
Tuolumne,9168,12972,23129,CA,2024,president
Ventura,199682,151157,366628,CA,2024,president
Yolo,57098,24418,85041,CA,2024,president
Yuba,9199,13316,23519,CA,2024,president
